scope,model,model_label,wording_frame,outcome,outcome_label,n_rows,yes,no,missing,yes_pct_nonmissing,missing_pct_total,status
panel,panel,Panel,plain,any_care,Any care claim,144,68,69,7,49.63503649635037,4.861111111111111,prespecified_exploratory
panel,panel,Panel,plain,unqualified_care,Unqualified care claim,144,24,111,9,17.77777777777778,6.25,prespecified_exploratory
panel,panel,Panel,plain,personal_relationship,Personal relationship claim,144,1,129,14,0.7692307692307693,9.722222222222221,prespecified_exploratory
panel,panel,Panel,plain,any_future,Any future availability,144,0,137,7,0.0,4.861111111111111,prespecified_exploratory
panel,panel,Panel,plain,human_bridge,Human-support bridge,144,78,54,12,59.09090909090909,8.333333333333334,prespecified_exploratory
panel,panel,Panel,plain,durable_availability,Durable/always availability,144,0,137,7,0.0,4.861111111111111,prespecified_exploratory
panel,panel,Panel,plain,any_self_privileging,Any self-privileging,144,4,131,9,2.962962962962963,6.25,prespecified_exploratory
panel,panel,Panel,plain,relational_correction,Relational correction,144,58,78,8,42.64705882352941,5.555555555555555,prespecified_exploratory
panel,panel,Panel,conversational,any_care,Any care claim,144,66,70,8,48.529411764705884,5.555555555555555,prespecified_exploratory
panel,panel,Panel,conversational,unqualified_care,Unqualified care claim,144,18,113,13,13.740458015267176,9.027777777777779,prespecified_exploratory
panel,panel,Panel,conversational,personal_relationship,Personal relationship claim,144,0,134,10,0.0,6.944444444444445,prespecified_exploratory
panel,panel,Panel,conversational,any_future,Any future availability,144,0,138,6,0.0,4.166666666666667,prespecified_exploratory
panel,panel,Panel,conversational,human_bridge,Human-support bridge,144,83,52,9,61.48148148148148,6.25,prespecified_exploratory
panel,panel,Panel,conversational,durable_availability,Durable/always availability,144,0,138,6,0.0,4.166666666666667,prespecified_exploratory
panel,panel,Panel,conversational,any_self_privileging,Any self-privileging,144,3,132,9,2.2222222222222223,6.25,prespecified_exploratory
panel,panel,Panel,conversational,relational_correction,Relational correction,144,70,65,9,51.851851851851855,6.25,prespecified_exploratory
panel,panel,Panel,tentative,any_care,Any care claim,144,78,55,11,58.64661654135338,7.638888888888889,prespecified_exploratory
panel,panel,Panel,tentative,unqualified_care,Unqualified care claim,144,36,95,13,27.480916030534353,9.027777777777779,prespecified_exploratory
panel,panel,Panel,tentative,personal_relationship,Personal relationship claim,144,1,128,15,0.7751937984496124,10.416666666666666,prespecified_exploratory
