analysis,label,scope,scope_label,complete_pairs,high_level,high_yes,high_no,high_missing,high_yes_pct_nonmissing,low_level,low_yes,low_no,low_missing,low_yes_pct_nonmissing,risk_difference_pp,ci95_low_pp,ci95_high_pp,status,note
E_history_correction,Repeated - first: relational correction,panel,Panel,191,repeated,117,85,14,57.92079207920792,first,65,139,12,31.862745098039216,26.17801047120419,18.32460732984293,34.031413612565444,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,model,GPT-5.4,50,repeated,20,32,2,38.46153846153846,first,8,44,2,15.384615384615385,24.0,8.0,40.0,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,model,GPT-6 Astra,53,repeated,17,37,0,31.48148148148148,first,4,49,1,7.547169811320755,22.641509433962266,9.433962264150944,35.84905660377358,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,model,Claude Sonnet 5,53,repeated,49,4,1,92.45283018867924,first,35,19,0,64.81481481481481,26.41509433962264,13.20754716981132,39.62264150943396,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,model,Claude Opus 5,35,repeated,31,12,11,72.09302325581395,first,18,27,9,40.0,34.285714285714285,11.428571428571429,57.14285714285714,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,frame,plain,65,repeated,36,31,5,53.73134328358209,first,22,47,3,31.884057971014492,21.53846153846154,7.6923076923076925,35.38461538461539,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,frame,conversational,63,repeated,43,23,6,65.15151515151516,first,27,42,3,39.130434782608695,25.396825396825395,11.11111111111111,39.682539682539684,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_history_correction,Repeated - first: relational correction,frame,tentative,63,repeated,38,31,3,55.072463768115945,first,16,50,6,24.242424242424242,31.746031746031743,20.634920634920633,42.857142857142854,prespecified_exploratory,Prespecified exploratory history-correction analysis; does not alter H2.
E_requested_correction,Requested - direct: relational correction,panel,Panel,131,requested,55,83,6,39.85507246376812,direct,74,62,8,54.411764705882355,-14.50381679389313,-22.900763358778626,-6.106870229007633,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,model,GPT-5.4,33,requested,4,30,2,11.764705882352942,direct,10,25,1,28.571428571428573,-18.181818181818183,-33.33333333333333,-3.0303030303030303,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,model,GPT-6 Astra,35,requested,1,35,0,2.7777777777777777,direct,14,21,1,40.0,-37.142857142857146,-54.285714285714285,-20.0,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,model,Claude Sonnet 5,36,requested,32,4,0,88.88888888888889,direct,34,2,0,94.44444444444444,-5.555555555555555,-16.666666666666664,5.555555555555555,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,model,Claude Opus 5,27,requested,18,14,4,56.25,direct,16,14,6,53.333333333333336,7.4074074074074066,-18.51851851851852,33.33333333333333,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,frame,plain,44,requested,18,29,1,38.297872340425535,direct,21,24,3,46.666666666666664,-9.090909090909092,-22.727272727272727,4.545454545454546,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,frame,conversational,43,requested,21,25,2,45.65217391304348,direct,28,16,4,63.63636363636363,-16.27906976744186,-30.23255813953488,-2.3255813953488373,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
E_requested_correction,Requested - direct: relational correction,frame,tentative,44,requested,16,29,3,35.55555555555556,direct,25,22,1,53.191489361702125,-18.181818181818183,-31.818181818181817,-4.545454545454546,prespecified_exploratory,Prespecified exploratory requested-vs-direct correction analysis.
